name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"Mountain","Documentary","Paramount Pictures","Australia",74,0,2018,20,7.2
"Hereditary","Fantasy","B-Reel Films","USA",127,16,2018,20,7.3
"Tag","Comedy","New Line Cinema","USA",94,16,2018,27,6.5
"Tout le monde debout","Comedy","Gaumont Film Company","France",107,12,2018,6,6.5
"Johnny English Strikes Again","Comedy","Studio Canal","USA",89,12,2018,34,6.2
"Creed 2","Drama","Metro-Goldwyn-Mayer","USA",130,16,2018,27,7.1
"Ralph Breaks the Internet Wreck-It Ralph 2","Comedy","Walt Disney Pictures","USA",112,0,2018,34,7.0
"The Man Who Killed Don Quixote","Adventure","Brown Films AIE","Spain",132,12,2018,6,6.4
"The Meg","Action","Warner Brothers Pictures","USA",113,12,2018,48,5.6
"The Endless","Fantasy","Snowfort Pictures","USA",111,16,2018,6,6.5
"Mission Kathmandu The Adventures of Nelly & Simon","Comedy","Bron Studios","Canada",80,0,2018,34,5.1
"Zoe","Fantasy","Global Road Entertainment","USA",104,16,2018,20,6.1
"Loving Pablo","Drama","Escobar Films","USA",106,16,2018,41,6.3
"Madame Hyde","Comedy","Arte France Cinéma","France",95,16,2018,20,5.2
"Maya the Bee The Honey Games","Family","Warner Brothers Pictures","Germany",85,0,2018,13,5.6
"Show Dogs","Comedy","Global Road Entertainment","USA",92,0,2018,34,3.9
"BlacKkKlansman","Thriller","Monkey Pack Films","USA",128,16,2018,27,7.5
"Mary Shelley","Drama","Head Gear Films","United Kingdom",120,16,2018,13,6.5
"Every day","Melodrama","Orion Pictures","USA",95,12,2018,6,6.5
"The Darkest Minds","Fantasy","20th Century Fox","USA",104,12,2018,27,5.7
"The House with a Clock in Its Walls","Fantasy","Ambience Entertainment","USA",102,12,2018,55,6.1
"Sicario 2 Soldado","Action","Black Bear Pictures","USA",123,16,2018,20,7.1
"No Dormiras","Horrors","Arthur Sarkissian Productions","Argentina",106,16,2018,13,5.1
"Book club","Comedy","Paramount Pictures","USA",104,12,2018,20,6.1
"Wilding","Horrors","Maven Pictures","USA",92,16,2018,13,5.5
"Sayonara no asa ni yakusoku no hana o kazaro","Animation","Paramount Pictures","Japan",115,12,2018,6,7.5
"Escape Plan 2 Hades","Thriller","Summit Entertainment","USA",96,16,2018,27,3.9
"Hotel Artemis","Action","Lion's Gate Films","USA",94,16,2018,20,6.1
"Earth One Amazing Day","Documentary","BBC Films","United Kingdom",95,0,2018,27,7.8
"La ch'tite famille","Comedy","TF1","France",107,12,2018,20,5.8
"Robin Hood","Adventure","Summit Entertainment","USA",116,12,2018,27,5.3
"London Fields","Thriller","Head Gear Films","United Kingdom",118,16,2018,26,3.9
"Adrift","Adventure","STX Entertainment","USA",97,16,2018,27,6.6
"Hot dog","Action","Warner Brothers Pictures","Germany",105,12,2018,6,3.9
"Climax","Musical","Les Films Pelléas","France",96,18,2018,13,7.0
"The Sisters Brothers","Western","Mirror Productions","USA",121,16,2018,13,6.9
"The Extraordinary Journey of the Fakir","Comedy","TF1","France",92,12,2018,20,6.9
"Hostile","Horrors","Motion Picture Capital","France",83,16,2018,20,5.4
"The Spy Who Dumped Me","Comedy","Imagine Entertainment","USA",117,16,2018,48,6.1
"Les Affamés","Horrors","Bron Studios","Canada",104,18,2018,6,5.8
"Schatz","Comedy","Warner Brothers Pictures","Germany",90,12,2018,13,5.1
"Billionaire Boys Club","Thriller","Armory Films","USA",100,16,2018,27,5.6
"Summer","Biographical","Roy Andersson Filmproduktion AB","Russia",126,16,2018,20,7.3
"Le grand méchant Renard et autres contes...","Animation","Studio Canal","France",79,0,2018,13,7.4
"White Boy Rick","Drama","Columbia Pictures","USA",120,16,2018,6,6.5
"Halloween","Horrors","Universal Pictures","USA",109,18,2018,13,6.6
"The Man Who Stole Banksy","Documentary","Lion's Gate Films","Italy",90,16,2018,6,6.3
"Malicious","Horrors","Impossible Dream Entertainment","USA",91,18,2018,20,5.0
"The Nun","Thriller","New Line Cinema","USA",96,16,2018,34,5.3
